Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],"Temp[C],",Time,Latitude,Longitude,Altitude,Speed,Course,Velocity Down,Pressure,GPS Fix,time_since_on,bme680.temperature,bme680.pressure,bme680.altitude,bme680.relative_humidity,mag_x, mag_y, mag_z
1256,355,68.3,0,6.72,1689942506,43.3307,-97.063,381.32,1.11965,296.555,-4.61,97.36,3,3021,23.7554,972.363,346.117,66.6825,-4.15083,52.5577,1.76849
5127,71,19.06,17,6.72,1689942512,43.3306,-97.063,407.11,1.62894,139.987,-4.391,97.06,3,3027,23.7683,971.601,352.68,65.5117,0.204618,50.1608,4.96931
5344,276,47.87,120,6.72,1689942518,43.3305,-97.0629,434.231,2.38315,137.162,-4.557,96.76,3,3033,23.7948,970.264,364.2,64.9182,5.07162,47.8807,2.79158
5833,68,18.65,137,6.72,1689942524,43.3306,-97.0629,461.347,1.58812,23.4966,-4.467,96.45,3,3039,23.8298,968.52,379.251,63.9359,3.44928,48.86,-8.65244
6002,110,22.78,161,6.72,1689942530,43.3306,-97.0628,487.859,2.4298,29.4597,-4.399,96.16,3,3045,23.8683,966.473,396.943,62.8377,-1.2131,50.7454,-11.3417
10746,207,35.26,178,6.72,1689942536,43.3307,-97.0627,514.542,3.46393,47.9846,-4.324,95.87,3,3051,23.9066,964.178,416.813,62.0794,-2.58696,50.6723,-11.444
10906,188,32.01,199,6.72,1689942542,43.3307,-97.0627,541.259,2.68056,84.5933,-4.504,95.56,3,3057,23.9445,961.7,438.311,61.5572,-4.13622,50.7454,-16.2087
12752,216,36.85,296,6.72,1689942548,43.3307,-97.0626,568.055,1.95939,95.8055,-4.605,95.25,3,3063,23.9825,959.089,461.013,60.8966,-13.2564,52.3092,-18.8103
13961,88,20.96,313,6.72,1689942554,43.3307,-97.0625,595.153,2.37732,113.621,-4.563,94.94,3,3069,24.0189,956.386,484.572,59.6618,-25.8258,53.4785,-17.8164
14108,60,17.43,336,6.72,1689942560,43.3307,-97.0624,621.787,2.53866,135.385,-4.526,94.65,3,3075,24.0552,953.606,508.849,58.5266,-32.3005,54.6916,-11.3709
14704,192,32.67,353,6.72,1689942566,43.3306,-97.0623,648.402,2.47646,138.303,-4.548,94.36,3,3081,24.0907,950.796,533.454,57.3256,-34.9898,54.7793,-3.04005
14861,182,31.03,370,6.72,1689942572,43.3305,-97.0623,675.339,2.56782,133.563,-4.607,94.05,3,3087,24.1239,947.924,558.661,56.0602,-36.3636,54.8085,3.49313
15855,227,38.83,387,6.72,1689942578,43.3305,-97.0622,702.823,2.90216,124.318,-4.531,93.76,3,3093,24.1554,945.033,584.09,55.1772,-29.8451,53.7854,13.154
15992,113,23.02,404,6.72,1689942584,43.3305,-97.0621,730.101,2.8419,118.77,-4.544,93.46,3,3099,24.1841,942.129,609.71,55.0067,-24.2911,53.157,16.4718
17065,192,32.67,421,6.72,1689942590,43.3304,-97.062,757.125,2.56004,110.682,-4.554,93.17,3,3105,24.2103,939.211,635.509,55.062,-16.311,52.7039,16.0041
17475,57,16.93,443,6.72,1689942596,43.3304,-97.0619,784.808,2.61058,116.197,-4.574,92.88,3,3111,24.2353,936.29,661.414,55.1687,-13.6948,51.7685,16.3402
19199,143,25.74,460,6.72,1689942602,43.3304,-97.0618,812.41,2.10518,109.63,-4.598,92.59,3,3117,24.2579,933.365,687.403,55.1395,-7.64396,51.2131,14.9956
21015,63,17.91,477,6.72,1689942608,43.3304,-97.0618,840.357,2.19071,107.585,-4.561,92.27,3,3123,24.2778,930.418,713.657,55.0906,-2.03157,50.0292,12.0286
23111,70,18.93,494,6.72,1689942614,43.3303,-97.0617,868.099,1.97106,107.73,-4.598,92,3,3129,24.2946,927.469,739.995,54.9766,0.96463,49.4738,6.21163
24624,79,20.03,511,6.72,1689942620,43.3303,-97.0616,896.378,1.11188,129.492,-4.69,91.7,3,3135,24.3097,924.509,766.502,54.8109,1.49079,50.38,2.68927
25099,120,23.58,528,6.72,1689942626,43.3303,-97.0616,925.073,1.58618,137.918,-4.742,91.42,3,3141,24.3216,921.54,793.168,54.6062,2.17773,49.6931,-4.44314
25686,60,17.43,545,6.72,1689942632,43.3303,-97.0616,953.416,1.80778,146.146,-4.724,91.09,3,3147,24.3321,918.555,820.035,54.4337,2.04618,49.6492,-6.00701
25845,287,50.23,566,6.72,1689942638,43.3302,-97.0615,981.326,1.98466,153.191,-4.595,90.79,3,3153,24.3403,915.573,846.954,54.2032,-1.52002,50.4677,-12.2917
27781,63,17.91,583,6.72,1689942644,43.3302,-97.0615,1008.9,1.7378,143.01,-4.564,90.5,3,3159,24.3472,912.61,873.768,53.7865,-4.44314,51.5639,-15.2295
28339,192,32.67,604,6.72,1689942650,43.3301,-97.0615,1036.52,1.80194,140.874,-4.671,90.2,3,3165,24.3513,909.647,900.656,53.332,-6.43087,51.0085,-15.3172
29556,167,28.76,700,6.72,1689942656,43.3301,-97.0614,1064.44,1.92441,165.2,-4.591,89.9,3,3171,24.3529,906.683,927.618,52.9677,-11.4879,51.8416,-18.138
29895,56,16.76,717,6.72,1689942662,43.33,-97.0614,1092,2.69222,179.893,-4.621,89.63,3,3177,24.3507,903.719,954.643,52.7375,-19.4095,52.8793,-19.7165
30339,63,17.91,741,6.72,1689942668,43.3299,-97.0614,1119.42,3.10626,177.28,-4.558,89.33,3,3183,24.348,900.771,981.615,52.616,-25.1973,53.3616,-17.1295
30995,142,25.64,758,6.72,1689942674,43.3299,-97.0614,1147.23,2.90022,170.569,-4.648,89.02,3,3189,24.3439,897.842,1008.47,52.558,-26.5273,53.9316,-14.7033
31187,188,32.01,775,6.72,1689942680,43.3298,-97.0614,1175.25,3.14125,166.409,-4.696,88.74,3,3195,24.3374,894.917,1035.37,52.3661,-28.7927,54.3408,-13.9141
31325,182,31.03,792,6.72,1689942686,43.3297,-97.0614,1203.42,3.17819,168.303,-4.739,88.39,3,3201,24.3282,891.977,1062.47,52.0912,-30.0497,54.1508,-14.8495
32157,368,72.93,815,6.72,1689942692,43.3296,-97.0613,1231.25,3.38229,171.215,-4.682,88.11,3,3207,24.3173,889.041,1089.61,51.7848,-32.812,53.9754,-13.3733
33383,153,26.9,832,6.72,1689942698,43.3295,-97.0613,1259,3.16458,171.193,-4.66,87.82,3,3213,24.3062,886.118,1116.7,51.5296,-31.5697,55.2908,-10.8448
35143,243,41.74,856,6.72,1689942704,43.3294,-97.0613,1286.52,3.18985,174.408,-4.658,87.57,3,3219,24.2929,883.204,1143.78,51.3504,-26.9512,54.1216,-15.2733
35362,158,27.53,873,6.72,1689942710,43.3293,-97.0613,1314.01,3.68164,167.857,-4.642,87.29,3,3225,24.279,880.311,1170.74,51.5134,-28.7489,53.8439,-15.2002
36762,305,53.88,890,6.72,1689942716,43.3292,-97.0612,1341.12,3.71663,157.029,-4.539,87,3,3231,24.263,877.431,1197.64,51.4922,-29.3774,54.6185,-13.1979
36860,423,97.36,907,6.72,1689942722,43.3291,-97.0612,1368.95,4.09957,157.352,-4.713,86.73,3,3237,24.2454,874.548,1224.64,51.224,-31.979,54.7062,-10.1432
36971,65,18.22,924,6.72,1689942728,43.329,-97.0611,1396.87,5.06955,163.981,-4.672,86.37,3,3243,24.2267,871.668,1251.7,50.7097,-34.069,55.3785,-4.07775
37752,423,97.36,941,6.72,1689942734,43.3288,-97.0611,1424.23,6.26112,168.207,-4.685,86.16,3,3249,24.2056,868.792,1278.78,50.1588,-34.4928,54.6916,3.62467
38050,287,50.23,963,6.72,1689942740,43.3287,-97.061,1451.89,7.18834,172.458,-4.605,85.86,3,3255,24.1839,865.926,1305.84,49.7852,-34.6244,54.3262,4.67699
38521,83,20.46,980,6.72,1689942746,43.3285,-97.061,1479.96,7.58877,175.187,-4.602,85.58,3,3261,24.1599,863.057,1333,49.757,-34.9021,54.4431,5.80239
38626,195,33.17,997,6.72,1689942752,43.3282,-97.061,1508.52,8.06695,175.02,-4.665,85.28,3,3267,24.1349,860.198,1360.14,50.2819,-33.2797,54.7208,6.50394
40755,140,25.42,1018,6.72,1689942758,43.328,-97.0609,1533.97,7.81425,173.392,-4.599,85,3,3273,24.1103,857.337,1387.38,50.9093,-31.2043,54.5308,8.15551
41224,159,27.66,1114,6.72,1689942764,43.3278,-97.0609,1561.54,8.34881,175.189,-4.637,84.73,3,3279,24.0847,854.488,1414.57,51.4246,-32.5051,53.8147,9.3686
41249,348,65.64,1138,6.72,1689942770,43.3276,-97.0609,1590.35,8.85616,174.695,-4.726,84.42,3,3285,24.0585,851.659,1441.65,51.8588,-32.1543,54.0631,9.82169
44840,56,16.76,1155,6.72,1689942776,43.3273,-97.0609,1619,9.21771,172.322,-4.652,84.11,3,3291,24.0302,848.826,1468.83,52.1283,-28.9535,53.9901,13.0079
46662,236,40.44,1172,6.72,1689942782,43.3271,-97.0608,1647.46,9.18661,169.372,-4.748,83.88,3,3297,24.0019,845.99,1496.12,52.2199,-26.2642,53.8439,14.031
47931,49,15.48,1189,6.72,1689942788,43.3268,-97.0607,1676.2,9.41209,168.996,-4.761,83.6,3,3303,23.9732,843.167,1523.36,52.2035,-23.4288,53.42,16.4572
49177,312,55.68,1206,6.72,1689942794,43.3266,-97.0606,1704.5,9.48013,166.326,-4.651,83.31,3,3309,23.9431,840.355,1550.56,52.0724,-19.1318,52.47,16.8956
49743,48,15.29,1223,6.72,1689942800,43.3263,-97.0606,1733.22,9.62009,168.329,-4.663,83.04,3,3315,23.9091,837.546,1577.81,51.8837,-17.0564,52.4262,16.7203
50048,60,17.43,1240,6.72,1689942806,43.326,-97.0605,1761.89,9.47818,169.098,-4.699,82.76,3,3321,23.8743,834.741,1605.1,51.7078,-14.2356,52.0754,17.5826
51508,108,22.63,1261,6.72,1689942812,43.3258,-97.0605,1790.13,9.32462,169.915,-4.69,82.47,3,3327,23.8409,831.949,1632.33,51.393,-11.3563,51.2715,16.7641
51804,176,30.09,1278,6.72,1689942818,43.3255,-97.0604,1817.99,8.85616,166.178,-4.682,82.23,3,3333,23.8046,829.178,1659.43,50.8383,-5.18854,50.9938,12.3794
51951,415,95,1295,6.72,1689942824,43.3253,-97.0603,1846.1,8.51209,158.56,-4.653,81.94,3,3339,23.7681,826.426,1686.42,50.0842,-3.53698,50.76,11.1663
52208,94,21.5,1312,6.72,1689942830,43.3251,-97.0602,1873.93,9.18855,161.028,-4.588,81.66,3,3345,23.7314,823.675,1713.46,49.3081,-1.50541,50.2631,8.12627
53220,195,33.17,1329,6.72,1689942836,43.3248,-97.06,1901.6,8.91447,160.82,-4.521,81.4,3,3351,23.695,820.945,1740.38,48.5916,-1.85618,50.76,7.52704
53833,359,69.86,1346,6.72,1689942842,43.3246,-97.0599,1929.28,9.4879,159.305,-4.472,81.14,3,3357,23.6599,818.243,1767.09,48.1018,1.06694,50,6.21163
55544,238,40.82,1368,6.72,1689942848,43.3243,-97.0598,1956.21,9.80669,160.131,-4.377,80.86,3,3363,23.6247,815.565,1793.63,47.6692,1.15463,49.7661,5.77316
