Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],"Temp[C],"
1256,355,68.3,0,6.72
5127,71,19.06,17,6.72
5344,276,47.87,120,6.72
5833,68,18.65,137,6.72
6002,110,22.78,161,6.72
10746,207,35.26,178,6.72
10906,188,32.01,199,6.72
12752,216,36.85,296,6.72
13961,88,20.96,313,6.72
14108,60,17.43,336,6.72
14704,192,32.67,353,6.72
14861,182,31.03,370,6.72
15855,227,38.83,387,6.72
15992,113,23.02,404,6.72
17065,192,32.67,421,6.72
17475,57,16.93,443,6.72
19199,143,25.74,460,6.72
21015,63,17.91,477,6.72
23111,70,18.93,494,6.72
24624,79,20.03,511,6.72
25099,120,23.58,528,6.72
25686,60,17.43,545,6.72
25845,287,50.23,566,6.72
27781,63,17.91,583,6.72
28339,192,32.67,604,6.72
29556,167,28.76,700,6.72
29895,56,16.76,717,6.72
30339,63,17.91,741,6.72
30995,142,25.64,758,6.72
31187,188,32.01,775,6.72
31325,182,31.03,792,6.72
32157,368,72.93,815,6.72
33383,153,26.9,832,6.72
35143,243,41.74,856,6.72
35362,158,27.53,873,6.72
36762,305,53.88,890,6.72
36860,423,97.36,907,6.72
36971,65,18.22,924,6.72
37752,423,97.36,941,6.72
38050,287,50.23,963,6.72
38521,83,20.46,980,6.72
38626,195,33.17,997,6.72
40755,140,25.42,1018,6.72
41224,159,27.66,1114,6.72
41249,348,65.64,1138,6.72
44840,56,16.76,1155,6.72
46662,236,40.44,1172,6.72
47931,49,15.48,1189,6.72
49177,312,55.68,1206,6.72
49743,48,15.29,1223,6.72
50048,60,17.43,1240,6.72
51508,108,22.63,1261,6.72
51804,176,30.09,1278,6.72
51951,415,95,1295,6.72
52208,94,21.5,1312,6.72
53220,195,33.17,1329,6.72
53833,359,69.86,1346,6.72
55544,238,40.82,1368,6.72
55829,103,22.23,1385,6.72
55887,211,35.96,1406,6.72
56050,408,90.57,1503,6.72
56705,233,39.92,1624,6.72
57499,161,27.93,1641,6.72
57537,193,32.84,1658,6.72
58089,172,29.49,1675,6.72
60528,176,30.09,1692,6.72
60616,216,36.85,1709,6.72
61267,359,69.86,1726,6.72
62832,318,57.28,1747,6.72
63279,99,21.91,1764,6.72
63846,131,24.54,1781,6.72
64065,190,32.33,1798,6.72
64394,143,25.74,1815,6.72
66958,248,42.69,1832,6.72
67157,71,19.06,1854,6.72
67234,527,155.96,1871,6.72
68272,206,35.07,1892,6.72
69553,600,203.87,1988,6.72
69667,262,45.24,2005,6.72
70458,207,35.26,2029,6.72
71210,201,34.22,2046,6.72
71442,140,25.42,2063,6.72
72118,184,31.36,2080,6.72
73955,78,19.92,2097,6.72
75276,88,20.96,2114,6.72
76071,65,18.22,2131,6.72
76649,355,68.3,2152,6.72
80504,167,28.76,2169,6.72
81056,62,17.75,2186,6.72
83157,113,23.02,2203,6.72
84910,167,28.76,2220,6.72
85508,96,21.67,2237,6.72
86356,89,21.05,2265,6.72
86741,310,55.16,2288,6.72
87706,67,18.51,2384,6.72
91651,88,20.96,2401,6.72
93437,54,16.41,2418,6.72
93529,88,20.96,2441,6.72
94281,295,51.75,2458,6.72
95003,211,35.96,2475,6.72
95188,355,68.3,2492,6.72
95250,206,35.07,2509,6.72
95275,252,43.42,2526,6.72
96226,199,33.86,2548,6.72
96939,358,69.1,2565,6.72
97909,486,135.98,2582,6.72
98745,60,17.43,2599,6.72
102783,167,28.76,2616,6.72
103393,158,27.53,2633,6.72
103768,158,27.53,2650,6.72
104067,262,45.24,2675,6.72
104399,184,31.36,2772,6.72
